date,adj_close,close,high,low,open,volume,ticker
2023-12-06,443.3030700683594,454.760009765625,458.8399963378906,454.30999755859375,458.80999755859375,69124700,SPY
2023-12-07,446.68560791015625,458.2300109863281,458.8999938964844,456.2900085449219,456.9100036621094,66995400,SPY
2023-12-08,448.6060485839844,460.20001220703125,460.75,457.2099914550781,457.4599914550781,83194400,SPY
2023-12-11,450.35089111328125,461.989990234375,462.1700134277344,459.4700012207031,459.69000244140625,65002200,SPY
2023-12-12,452.40777587890625,464.1000061035156,464.20001220703125,460.6000061035156,461.6300048828125,68327600,SPY
2023-12-13,458.64654541015625,470.5,470.760009765625,464.1199951171875,464.489990234375,93278000,SPY
2023-12-14,460.1185302734375,472.010009765625,473.7300109863281,469.25,472.5,119026000,SPY
2023-12-15,459.3609313964844,469.3299865722656,470.70001220703125,467.42999267578125,469.489990234375,141553700,SPY
2023-12-18,461.9448547363281,471.9700012207031,472.9800109863281,469.8900146484375,470.9800109863281,70375300,SPY
2023-12-19,464.75384521484375,474.8399963378906,474.9200134277344,472.45001220703125,472.5299987792969,55761800,SPY
2023-12-20,458.3136291503906,468.260009765625,475.8999938964844,467.82000732421875,473.9599914550781,102921000,SPY
2023-12-21,462.6593933105469,472.70001220703125,472.9800109863281,468.8399963378906,471.3299865722656,86667500,SPY
2023-12-22,463.5891418457031,473.6499938964844,475.3800048828125,471.70001220703125,473.8599853515625,67160400,SPY
2023-12-26,465.5466613769531,475.6499938964844,476.5799865722656,473.989990234375,474.07000732421875,55387000,SPY
2023-12-27,466.3883972167969,476.510009765625,476.6600036621094,474.8900146484375,475.44000244140625,68000300,SPY
2023-12-28,466.5645446777344,476.69000244140625,477.54998779296875,476.260009765625,476.8800048828125,77158100,SPY
2023-12-29,465.2138977050781,475.30999755859375,477.0299987792969,473.29998779296875,476.489990234375,122283100,SPY
2024-01-02,462.6103820800781,472.6499938964844,473.6700134277344,470.489990234375,472.1600036621094,123623700,SPY
2024-01-03,458.8323974609375,468.7900085449219,471.19000244140625,468.1700134277344,470.42999267578125,103585900,SPY
2024-01-04,457.35443115234375,467.2799987792969,470.9599914550781,467.04998779296875,468.29998779296875,84232200,SPY
2024-01-05,457.9808654785156,467.9200134277344,470.44000244140625,466.42999267578125,467.489990234375,86118900,SPY
2024-01-08,464.51898193359375,474.6000061035156,474.75,468.29998779296875,468.42999267578125,74879100,SPY
2024-01-09,463.81427001953125,473.8800048828125,474.92999267578125,471.3500061035156,471.8699951171875,65931400,SPY
2024-01-10,466.4373474121094,476.55999755859375,477.45001220703125,473.8699951171875,474.1600036621094,67310600,SPY
2024-01-11,466.23175048828125,476.3500061035156,478.1199951171875,472.260009765625,477.5899963378906,77940700,SPY
2024-01-12,466.55474853515625,476.67999267578125,478.6000061035156,475.2300109863281,477.8399963378906,58026400,SPY
2024-01-16,464.8419494628906,474.92999267578125,476.6099853515625,473.05999755859375,475.260009765625,85014900,SPY
2024-01-17,462.258056640625,472.2900085449219,472.7900085449219,469.8699951171875,471.82000732421875,68843900,SPY
2024-01-18,466.3688049316406,476.489990234375,477.05999755859375,472.4200134277344,474.010009765625,91856200,SPY
2024-01-19,472.1826477050781,482.42999267578125,482.7200012207031,476.5400085449219,477.6499938964844,110834500,SPY
2024-01-22,473.1810302734375,483.45001220703125,485.2200012207031,482.7799987792969,484.010009765625,75844900,SPY
2024-01-23,474.56103515625,484.8599853515625,485.1099853515625,482.8900146484375,484.010009765625,49945300,SPY
2024-01-24,475.0797424316406,485.3900146484375,488.7699890136719,484.8800048828125,487.80999755859375,81765000,SPY
2024-01-25,477.6636962890625,488.0299987792969,488.30999755859375,485.3900146484375,487.5799865722656,72525000,SPY
2024-01-26,477.056884765625,487.4100036621094,489.1199951171875,486.5400085449219,487.5899963378906,76641600,SPY
2024-01-29,480.8348693847656,491.2699890136719,491.4200134277344,487.1700134277344,487.7300109863281,61322800,SPY
2024-01-30,480.4629821777344,490.8900146484375,491.6199951171875,490.1099853515625,490.55999755859375,58618400,SPY
2024-01-31,472.62310791015625,482.8800048828125,489.0799865722656,482.8599853515625,488.6199951171875,126011100,SPY
2024-02-01,478.8088684082031,489.20001220703125,489.2300109863281,483.79998779296875,484.6300048828125,91891600,SPY
2024-02-02,483.8494567871094,494.3500061035156,496.04998779296875,489.29998779296875,489.6499938964844,99228200,SPY
2024-02-05,482.08770751953125,492.54998779296875,494.3800048828125,490.2300109863281,493.70001220703125,75757100,SPY
2024-02-06,483.4873046875,493.9800109863281,494.32000732421875,492.04998779296875,493.5199890136719,55918600,SPY
2024-02-07,487.5198059082031,498.1000061035156,498.5299987792969,495.3599853515625,496.2900085449219,70556500,SPY
2024-02-08,487.7351379394531,498.32000732421875,498.7099914550781,497.260009765625,498.1000061035156,52343600,SPY
2024-02-09,490.553955078125,501.20001220703125,501.6499938964844,498.489990234375,498.8399963378906,63979400,SPY
2024-02-12,490.3386535644531,500.9800109863281,503.5,500.239990234375,501.1700134277344,56502300,SPY
2024-02-13,483.5851745605469,494.0799865722656,497.0899963378906,490.7200012207031,494.5299987792969,113099200,SPY
2024-02-14,487.9798583984375,498.57000732421875,499.07000732421875,494.3999938964844,496.7900085449219,68387800,SPY
2024-02-15,491.34674072265625,502.010009765625,502.20001220703125,498.79998779296875,499.2900085449219,61683000,SPY
2024-02-16,488.89984130859375,499.510009765625,502.8699951171875,498.75,501.70001220703125,75532900,SPY
2024-02-20,486.2082824707031,496.760009765625,498.4100036621094,494.45001220703125,497.7200012207031,71736700,SPY
2024-02-21,486.6487731933594,497.2099914550781,497.3699951171875,493.55999755859375,495.4200134277344,59293400,SPY
2024-02-22,496.72015380859375,507.5,508.489990234375,503.0199890136719,504.010009765625,76402500,SPY
2024-02-23,497.0627136230469,507.8500061035156,510.1300048828125,507.1000061035156,509.2699890136719,61321800,SPY
2024-02-26,495.2422180175781,505.989990234375,508.75,505.8599853515625,508.29998779296875,50386700,SPY
2024-02-27,496.1622619628906,506.92999267578125,507.1600036621094,504.75,506.70001220703125,48854500,SPY
2024-02-28,495.5065002441406,506.260009765625,506.8599853515625,504.9599914550781,505.3299865722656,56506600,SPY
2024-02-29,497.2878112792969,508.0799865722656,509.739990234375,505.3500061035156,508.07000732421875,83924800,SPY
2024-03-01,501.95648193359375,512.8499755859375,513.2899780273438,508.55999755859375,508.9800109863281,76844800,SPY
2024-03-04,501.4181823730469,512.2999877929688,514.2000122070312,512.0,512.030029296875,49799300,SPY
2024-03-05,496.4069519042969,507.17999267578125,510.70001220703125,504.9100036621094,510.239990234375,72855600,SPY
2024-03-06,498.92236328125,509.75,512.0700073242188,508.4200134277344,510.54998779296875,68382400,SPY
2024-03-07,503.8748474121094,514.8099975585938,515.8900146484375,509.80999755859375,513.1400146484375,58652100,SPY
2024-03-08,500.85052490234375,511.7200012207031,518.219970703125,511.1300048828125,515.4600219726562,86532500,SPY
2024-03-11,500.4198913574219,511.2799987792969,511.8800048828125,508.5,510.4800109863281,62557200,SPY
2024-03-12,505.80303955078125,516.780029296875,517.3800048828125,510.8599853515625,513.4500122070312,73114400,SPY
2024-03-13,505.01019287109375,515.969970703125,517.2899780273438,514.489990234375,517.1099853515625,55104100,SPY
2024-03-14,504.0119934082031,514.9500122070312,517.1300048828125,511.82000732421875,516.969970703125,110171800,SPY
2024-03-15,500.5510559082031,509.8299865722656,511.70001220703125,508.1199951171875,510.2099914550781,107646300,SPY
2024-03-18,503.5259094238281,512.8599853515625,515.47998046875,512.4400024414062,514.0,88893300,SPY
2024-03-19,506.3240661621094,515.7100219726562,516.0,511.1199951171875,512.1500244140625,60755300,SPY
2024-03-20,511.0072021484375,520.47998046875,520.6199951171875,515.0800170898438,515.77001953125,69594600,SPY
2024-03-21,512.6959228515625,522.2000122070312,524.1099853515625,521.9099731445312,523.3900146484375,60256100,SPY
2024-03-22,511.72393798828125,521.2100219726562,522.6099853515625,520.969970703125,522.1099853515625,79070800,SPY
2024-03-25,510.31024169921875,519.77001953125,520.9500122070312,519.6099853515625,519.7999877929688,48512100,SPY
2024-03-26,509.3676452636719,518.8099975585938,521.5800170898438,518.4000244140625,521.22998046875,65463700,SPY
2024-03-27,513.6482543945312,523.1699829101562,523.2100219726562,519.489990234375,521.7100219726562,82999800,SPY
2024-03-28,513.550048828125,523.0700073242188,524.6099853515625,522.780029296875,523.2100219726562,96294900,SPY
2024-04-01,512.6566772460938,522.1599731445312,524.3800048828125,520.969970703125,523.8300170898438,62477500,SPY
2024-04-02,509.3971252441406,518.8400268554688,518.97998046875,516.47998046875,518.239990234375,74230300,SPY
2024-04-03,509.9566650390625,519.4099731445312,520.9500122070312,517.6699829101562,517.719970703125,59155800,SPY
2024-04-04,503.73211669921875,513.0700073242188,523.8699951171875,512.760009765625,523.52001953125,96858100,SPY
2024-04-05,508.9945373535156,518.4299926757812,520.4400024414062,514.010009765625,514.4600219726562,74546500,SPY
2024-04-08,509.2791748046875,518.719970703125,520.1799926757812,517.8900146484375,519.1500244140625,48401800,SPY
2024-04-09,509.8683166503906,519.3200073242188,520.75,514.3499755859375,520.5,68049200,SPY
2024-04-10,504.7629699707031,514.1199951171875,516.1599731445312,512.0900268554688,513.47998046875,82652800,SPY
2024-04-11,508.5723876953125,518.0,519.47998046875,512.0800170898438,515.6799926757812,70099000,SPY
2024-04-12,501.552490234375,510.8500061035156,515.8200073242188,509.0799865722656,514.3699951171875,92561100,SPY
2024-04-15,495.26898193359375,504.45001220703125,515.2999877929688,503.5799865722656,515.1300048828125,92101400,SPY
2024-04-16,494.36572265625,503.5299987792969,506.5,502.2099914550781,504.94000244140625,73484000,SPY
2024-04-17,491.43994140625,500.54998779296875,506.2200012207031,499.1199951171875,506.04998779296875,75910300,SPY
2024-04-18,490.4286804199219,499.5199890136719,504.1300048828125,498.55999755859375,501.9800109863281,74548100,SPY
2024-04-19,486.1480712890625,495.1600036621094,500.4599914550781,493.8599853515625,499.44000244140625,102212600,SPY
2024-04-22,490.62506103515625,499.7200012207031,502.3800048828125,495.42999267578125,497.8299865722656,67961000,SPY
2024-04-23,496.4471130371094,505.6499938964844,506.0899963378906,499.5299987792969,501.7799987792969,64633600,SPY
2024-04-24,496.2115173339844,505.4100036621094,507.3699951171875,503.1300048828125,506.55999755859375,55928100,SPY
2024-04-25,494.3264465332031,503.489990234375,504.2699890136719,497.489990234375,499.17999267578125,69122400,SPY
2024-04-26,499.0096435546875,508.260009765625,509.8800048828125,505.70001220703125,506.3500061035156,64306100,SPY
2024-04-29,500.77685546875,510.05999755859375,510.75,507.25,510.0899963378906,46415400,SPY
2024-04-30,492.8439636230469,501.9800109863281,509.55999755859375,501.9800109863281,508.55999755859375,77483600,SPY
2024-05-01,491.2436218261719,500.3500061035156,508.19000244140625,499.8699951171875,501.3800048828125,80242800,SPY
2024-05-02,495.8384094238281,505.0299987792969,505.8900146484375,499.54998779296875,504.1499938964844,62550200,SPY
2024-05-03,501.9845275878906,511.2900085449219,512.5499877929688,508.55999755859375,511.1600036621094,72756700,SPY
2024-05-06,507.1683349609375,516.5700073242188,516.6099853515625,513.2999877929688,513.75,47264700,SPY
2024-05-07,507.72808837890625,517.1400146484375,518.5700073242188,516.4500122070312,517.5599975585938,52561300,SPY
2024-05-08,507.7770690917969,517.1900024414062,517.739990234375,515.1400146484375,515.260009765625,42047200,SPY
2024-05-09,510.702880859375,520.1699829101562,520.2100219726562,516.7100219726562,517.3800048828125,43643700,SPY
2024-05-10,511.3607177734375,520.8400268554688,522.6400146484375,519.5900268554688,521.8099975585938,52233200,SPY
2024-05-13,511.4293518066406,520.9099731445312,522.6699829101562,519.739990234375,522.5599975585938,36716400,SPY
2024-05-14,513.7759399414062,523.2999877929688,523.8300170898438,520.5599975585938,521.1099853515625,57535900,SPY
2024-05-15,520.1380004882812,529.780029296875,530.0800170898438,525.1799926757812,525.8300170898438,59504900,SPY
2024-05-16,519.0678100585938,528.6900024414062,531.52001953125,528.5399780273438,529.8800048828125,50244800,SPY
2024-05-17,519.8140258789062,529.4500122070312,529.52001953125,527.3200073242188,528.8099975585938,59187600,SPY
2024-05-20,520.4129028320312,530.0599975585938,531.5599975585938,529.1699829101562,529.5700073242188,37764200,SPY
2024-05-21,521.6891479492188,531.3599853515625,531.52001953125,529.0700073242188,529.280029296875,33437000,SPY
2024-05-22,520.1871337890625,529.8300170898438,531.3800048828125,527.5999755859375,530.6500244140625,48390000,SPY
2024-05-23,516.387451171875,525.9600219726562,533.0700073242188,524.719970703125,532.9600219726562,57211200,SPY
2024-05-24,519.80419921875,529.4400024414062,530.27001953125,526.8800048828125,527.8499755859375,41291100,SPY
2024-05-28,520.1674194335938,529.8099975585938,530.510009765625,527.1099853515625,530.27001953125,36269600,SPY
2024-05-29,516.52490234375,526.0999755859375,527.3099975585938,525.3699951171875,525.6799926757812,45190300,SPY
2024-05-30,513.0984497070312,522.6099853515625,525.2000122070312,521.3300170898438,524.52001953125,46377600,SPY
2024-05-31,517.7719116210938,527.3699951171875,527.5,518.3599853515625,523.5900268554688,90785800,SPY
2024-06-03,518.1939697265625,527.7999877929688,529.3099975585938,522.5999755859375,529.02001953125,46835700,SPY
2024-06-04,518.773193359375,528.3900146484375,529.1500244140625,524.9600219726562,526.4600219726562,34632700,SPY
2024-06-05,524.93896484375,534.6699829101562,534.6900024414062,528.72998046875,530.77001953125,47610400,SPY
2024-06-06,524.9291381835938,534.6599731445312,535.4199829101562,532.6799926757812,534.97998046875,30808500,SPY
2024-06-07,524.291015625,534.010009765625,536.8900146484375,532.5399780273438,533.6599731445312,43224500,SPY
2024-06-10,525.910888671875,535.6599731445312,535.989990234375,532.5700073242188,533.1799926757812,35686100,SPY
2024-06-11,527.1774291992188,536.9500122070312,537.010009765625,532.0499877929688,534.0700073242188,36383400,SPY
2024-06-12,531.5072021484375,541.3599853515625,544.1199951171875,540.2999877929688,541.6300048828125,63251300,SPY
2024-06-13,532.577392578125,542.4500122070312,543.3300170898438,539.5900268554688,543.1500244140625,44760900,SPY
2024-06-14,532.9014892578125,542.780029296875,542.8099975585938,539.8499755859375,540.8800048828125,40089900,SPY
2024-06-17,537.1427001953125,547.0999755859375,548.530029296875,541.6099853515625,542.0800170898438,55839500,SPY
2024-06-18,538.5075073242188,548.489990234375,548.6199951171875,546.72998046875,547.1599731445312,41376400,SPY
2024-06-20,537.0445556640625,547.0,550.1199951171875,545.1799926757812,549.4400024414062,70328200,SPY
2024-06-21,536.3245239257812,544.510009765625,545.6500244140625,543.02001953125,544.4000244140625,64338600,SPY
2024-06-24,534.5811767578125,542.739990234375,546.9500122070312,542.6199951171875,544.3300170898438,45528700,SPY
2024-06-25,536.6397705078125,544.8300170898438,545.2000122070312,542.4400024414062,543.989990234375,37936200,SPY
2024-06-26,537.3095703125,545.510009765625,546.239990234375,543.030029296875,543.6900024414062,38550600,SPY
2024-06-27,538.1566162109375,546.3699951171875,546.9600219726562,544.6099853515625,545.3699951171875,35041500,SPY
2024-06-28,536.0389404296875,544.219970703125,550.280029296875,542.9500122070312,547.1599731445312,76144500,SPY
